Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0489~Methyltransferase	51	1.8008474576271187	3.0449890667832877E-4	Q9NZJ6, P22061, Q92979, O75626, P29375, Q7Z4G4, Q7L0Y3, O60725, O95671, Q5T280, Q9H9B1, Q9UI43, O14744, Q9H8H3, Q6P2P2, Q86W50, Q08J23, Q8IYR2, Q9BV44, Q9H993, Q9Y5N5, O14717, Q96GJ1, O60294, Q9UBL3, Q9H5I1, O96028, Q32P41, Q96FX7, O75648, Q9NXH9, Q9H5Q4, P04818, Q8IZ69, Q96L73, Q9NR48, O14686, Q15047, Q14353, Q8WVM0, Q6UX53, Q9UNQ2, P46087, Q9BVS5, P34896, P34897, O60678, Q9UIC8, Q96P11, Q9UET6, Q5TEU4	1730	54	2362	1.28946692357097	0.031176382255957313	0.022058123464905113	0.022058123464905113
UP_KW_MOLECULAR_FUNCTION	KW-0238~DNA-binding	229	8.086158192090394	4.24194682017406E-4	Q9UKT9, P05204, Q9HAW4, Q6P2D0, Q9UKD1, Q12824, P20719, P51587, Q9Y2G1, Q9NRG0, Q92610, Q8NCD3, P07199, Q13485, Q7L590, Q5VV52, O15090, Q8IVH2, P16104, P10244, O60216, Q8IWI9, Q9Y2Y4, Q8WY36, Q9UQR1, Q16649, P27695, Q9NYF8, Q9NRY4, Q12968, P62380, Q8IXK0, O75362, Q7Z3K3, Q5T5X7, Q8TD26, Q96KM6, P42166, Q6DD87, Q9UJU3, Q14592, Q9BXS6, P49116, Q96FC9, Q53T94, P06400, Q8WVM0, Q16650, Q6NUN9, P35869, Q9C009, Q9Y618, P10588, P10589, O75475, Q86WP2, Q6N043, P19838, P56270, P52630, O15162, P54132, Q14807, Q6MZP7, Q86US8, Q04837, Q9BYK8, Q8N2W9, P28358, O14503, Q12873, Q86W54, Q9Y237, P46100, P22392, Q03188, Q15906, O00479, O00482, P17482, P08651, P42771, Q6ZN18, Q8IYA7, Q92766, Q3L8U1, P98177, Q8ND82, Q7Z401, O75683, Q9BWE0, P35680, P49711, Q15361, Q49A26, Q9UNY4, Q96C00, Q9H7T9, P82979, Q9UEG4, O00255, Q9NQT4, Q9UJA3, P11474, Q9HCK8, Q9P0M6, O60870, O14896, Q68D10, P28347, Q9NUD5, P78545, O96006, Q12789, P33992, P33993, Q96T92, P33991, P17028, P52952, Q96PQ6, Q96T88, Q96EK4, Q9UH65, P25205, Q4LE39, Q16236, O60281, P42226, Q9UPW6, Q7Z7L1, Q9UQ84, Q9BRQ8, Q13887, O75531, P50549, P12268, Q99081, P46013, P49643, Q9UBL3, O96028, Q9BRP0, O94762, Q8N726, Q9H307, O60829, P29590, P15622, Q63HK5, Q4VC44, P11387, P41235, Q9BTC8, Q14191, P17010, Q9Y330, Q9Y692, Q9NSC2, Q99626, Q8N720, Q16254, Q9BXK1, O95985, A0AVK6, P51530, Q8N3J3, O95625, O15156, P11831, Q9UHI6, P78317, Q9BWH6, P24468, Q92547, P06733, Q5VXU9, O75626, Q9Y5Q3, Q5EBL2, Q9Y620, Q7L3S4, Q9Y5Q8, Q8WUY8, P56282, Q9Y5A6, Q6P1N0, Q8N5U6, P05412, P46063, Q9P2W1, P22670, Q13568, Q8TCN5, Q01831, O43929, P14373, Q8TEA8, Q9HC44, Q14781, Q2NKX8, Q969F1, Q9P0T4, O60902, P18146, Q9UIF9, P35712, Q9UIF8, Q00059, Q86TG7, Q68DI1, Q9H582, Q8IYH5, Q6P4R8, Q00978, Q8NEA6, P49790, P27540, P19484, P35269, P51858, P52701, O60356, P58012, Q92466, O15226, Q96JF6, Q5TGY3, P21675	1730	280	2362	1.1166350123864575	0.04316623463036229	0.022058123464905113	0.022058123464905113
UP_KW_MOLECULAR_FUNCTION	KW-0418~Kinase	165	5.826271186440677	0.0010099968622595185	Q15139, Q9HA64, Q9NSY1, P52790, O75147, Q9Y4K4, O43318, Q8IXL6, P48729, P15531, Q03426, O60566, Q04759, Q8IVH8, Q8N0W3, Q99640, P27986, Q9BTU6, O43683, O75414, Q16513, Q9UQ88, P33981, P57058, P57059, Q96PY6, Q9UKE5, O96013, Q9UJC3, Q99755, Q9NYV4, Q5VSY0, O60331, P41240, Q9P2K8, P23677, Q92569, O43293, P42338, Q9ULX6, Q13131, O43252, Q16644, Q5SY16, O15021, Q8WXI2, O15264, Q9UIJ7, Q9Y2I7, Q9H0K1, O00443, Q99986, Q96S44, P11274, Q00536, Q00535, P17252, P04183, Q9H4B4, P42684, P63104, O94806, P54886, Q16539, Q13546, Q8TD19, Q8N1F8, Q9UHA4, O95340, Q86TB3, Q8N4C8, Q96RR4, O60674, Q8TCG2, O14733, Q9HBU6, O14976, Q96S38, P27037, Q14004, O00746, Q4G0N4, Q16822, Q96B97, P11802, P32189, Q3LXA3, O75063, P00749, P60891, P54819, Q8TDX7, P22392, P51957, O00750, P19784, P10721, P23919, Q86XP1, Q9BZL6, O14874, P49841, Q13057, Q15750, Q9Y5B8, P46734, Q15118, O75969, Q9NYJ8, O43572, P50750, P14618, Q8N5S9, O75569, Q9Y6M4, Q12802, Q08345, P12277, P31751, O00764, Q9NRM7, Q15120, Q5TCX8, Q96RG2, P11908, O15075, P53355, Q15126, P49674, O00418, Q9UIG0, P51570, P31749, Q04771, P38936, Q9P289, Q9UPE1, Q7L7X3, Q9BUH8, P17612, Q9Y4B6, P11362, O14936, P51617, P17858, P37173, Q96QT4, P55263, Q9NYL2, Q96ED9, P78362, P23458, P48730, Q14289, Q13232, Q9UL54, P45984, Q9BYP7, P21675, P06213, Q16584	1730	199	2362	1.1320475208412002	0.09975898250213522	0.0338767442412658	0.0338767442412658
UP_KW_MOLECULAR_FUNCTION	KW-0297~G-protein coupled receptor	29	1.024011299435028	0.0013029517015871461	Q86SQ4, O95490, Q9H461, Q99500, Q9NPG1, Q9H1Y3, Q9NYQ6, Q8NFJ5, Q14332, Q92633, Q13467, P48960, O15354, Q9Y653, Q14416, P59536, Q9Y3P9, Q8IWK6, Q8WZ94, O60353, Q8NGM8, P55085, P47900, Q9NZH0, O43194, Q99835, Q9HCU4, O14514	1730	29	2362	1.3653179190751445	0.12680408564038603	0.0338767442412658	0.0338767442412658
UP_KW_MOLECULAR_FUNCTION	KW-0807~Transducer	36	1.2711864406779663	0.003513840936024165	Q86SQ4, Q9UPR0, P04899, O95490, Q9NQ66, Q9H461, Q99500, Q9NPG1, Q9H1Y3, Q9NYQ6, Q8NFJ5, Q14332, Q92633, O95467, Q13467, P48960, O15354, Q9Y653, Q14416, P59536, Q9Y3P9, Q8IWK6, Q8WZ94, Q01970, Q6UVK1, O60353, P63218, Q8NGM8, P55085, Q5JWF2, P84996, P47900, Q9NZH0, O43194, Q99835, Q9HCU4, O14514	1730	38	2362	1.2934590812290845	0.3065547664403079	0.07308789146930264	0.07308789146930264
UP_KW_MOLECULAR_FUNCTION	KW-0723~Serine/threonine-protein kinase	86	3.036723163841808	0.005718996189805478	Q15139, P27037, Q14004, Q9NSY1, P11802, Q9Y4K4, O43318, Q8IXL6, P48729, O60566, Q04759, Q8IVH8, Q99640, O43683, Q8TDX7, Q16513, Q9UQ88, P33981, P57058, P51957, Q96PY6, P57059, P19784, Q9UKE5, O96013, Q9BZL6, Q9NYV4, Q9P2K8, P49841, O43293, Q13131, P46734, P50750, Q16644, Q8N5S9, O15021, O15264, Q9Y6M4, Q9H0K1, P31751, Q99986, Q96S44, P11274, Q00536, Q00535, Q9NRM7, P17252, Q5TCX8, Q96RG2, Q9H4B4, O94806, Q16539, O15075, P53355, P49674, O00418, Q13546, P31749, Q04771, Q9P289, Q8TD19, Q9UPE1, Q7L7X3, P17612, Q86TB3, Q9Y4B6, Q96RR4, Q8N4C8, O14936, P37173, P51617, Q96QT4, Q9NYL2, P48730, P78362, O14733, Q9UL54, P45984, Q9BYP7, P21675, O14976, Q16584, Q96S38	1730	101	2362	1.1625479310936875	0.4492547267985033	0.09912926728996162	0.09912926728996162
UP_KW_MOLECULAR_FUNCTION	KW-0112~Calmodulin-binding	36	1.2711864406779663	0.04934789019942257	Q96D31, Q13576, Q8N5S9, O43795, Q15417, Q9P032, Q07157, P35579, Q9Y4I1, P35612, P35611, P35580, Q9UEY8, P11171, Q02952, O15554, P29966, P25445, Q9NQA5, P35749, Q13884, P53355, O00418, Q8IW35, Q13425, Q01082, P12882, O00159, Q9NRL3, Q96RR4, O14936, Q15051, P23677, Q96SN8, P49006, Q9UKX2	1730	41	2362	1.1988157338220782	0.9948209738612951	0.674306460747369	0.674306460747369
UP_KW_MOLECULAR_FUNCTION	KW-0255~Endonuclease	20	0.7062146892655368	0.05186972774979762	Q14249, Q7Z7L1, P51530, Q9UQ84, P27695, Q9UKV8, P39748, Q86US8, Q9UKF6, Q9BQ52, O00115, Q8N2A8, Q9H9G7, Q9Y2C4, Q05823, Q96AY2, Q17RS7, Q9H9J2, O94919, Q9UPY3	1730	21	2362	1.300302780071566	0.9960710783929457	0.674306460747369	0.674306460747369
UP_KW_MOLECULAR_FUNCTION	KW-0344~Guanine-nucleotide releasing factor	37	1.3064971751412429	0.07633389578671684	Q8N1I0, Q96I51, Q5VZ89, Q9ULL1, Q7Z401, Q12802, Q5VV41, Q58EX7, Q9P258, Q8TEU7, Q96HP0, O75064, Q9BXI6, P11274, Q96N67, Q8IWF6, Q8TEH3, A4D1U4, Q9NYI0, Q9H7D0, O75815, O95248, Q6XZF7, Q13009, O15013, Q96NW4, Q9Y4F1, Q8TEV9, Q5JSL3, Q8TCE6, Q96LT7, Q9NXL2, Q96QF0, Q92888, Q6ZUT9, P98174, Q7L8J4	1730	43	2362	1.1748084419948919	0.9997408443468024	0.845926776318669	0.845926776318669
UP_KW_MOLECULAR_FUNCTION	KW-0009~Actin-binding	66	2.330508474576271	0.08910727788420622	Q9NYL9, C4AMC7, Q96AX9, Q14847, O43795, Q15417, P12814, Q9UHB6, P35579, Q9ULJ8, P35612, Q96H55, P35611, P35580, P40121, Q9UEY8, P11171, P09493, O15357, Q92614, P29966, P07951, P47756, Q15149, Q13884, Q8NF91, P35609, Q14019, Q01082, Q08AE8, P28290, O00159, Q8WX93, P49006, P60981, Q27J81, Q01518, Q9H4G0, O15020, P50552, O75128, O15144, Q8IZ21, Q7RTP6, O75167, Q9Y4I1, P23528, P35080, Q969V6, Q9UMS6, O94851, Q08495, P35749, Q9Y613, P07737, O94854, Q16658, Q13425, Q03001, P12882, Q9Y2J2, O43707, P52907, Q9NZ56, Q9UKX2	1730	81	2362	1.1124812673945623	0.9999391035265269	0.845926776318669	0.845926776318669
UP_KW_MOLECULAR_FUNCTION	KW-0339~Growth factor	13	0.4590395480225989	0.09915208579190735	P09529, P55145, Q9GZP0, Q02297, P35443, P51858, P15514, P13497, P55789, P58166, P01137, P61812, P04155	1730	13	2362	1.3653179190751443	0.9999807799885257	0.845926776318669	0.845926776318669
