Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_MOLECULAR_FUNCTION	KW-0694~RNA-binding	127	12.40234375	1.6157631541706268E-32	O00425, Q9NWH9, P23396, Q4G0J3, Q92615, Q14444, Q9BY77, O75821, Q9Y2W6, P67809, P52272, P55265, P62917, Q06787, Q6NZI2, O00148, A0AV96, Q04637, Q9NUU7, P33240, P09651, Q00839, Q9UQ80, P38919, P51991, P07910, O15371, Q15424, Q9HAV4, Q8IXT5, P46781, O75534, Q01085, Q9UKM9, P51114, P51116, P19338, P22626, Q9NW13, O60573, Q92841, O15523, Q15434, P11940, Q15717, O60306, Q9UBU9, Q92552, P26599, P23246, P31942, P31943, Q9NZI8, O14980, O00571, P51532, O14979, Q07955, P62701, Q13151, P43243, O95628, P61978, Q96T58, Q13310, Q92667, Q15056, O43390, P52597, O95758, Q9NZB2, Q9BQ39, Q6NYC1, Q96EP5, Q13838, P62280, Q12906, Q96PU8, P19525, Q01844, Q13283, P23588, P84103, Q92499, Q99729, Q9Y2L1, P06748, P26196, P31483, P37108, Q9NR30, Q86XP3, P38159, Q7Z417, Q9HCE1, Q7Z2W4, Q9UKA9, Q7L8L6, Q92879, P55884, P98179, Q96KR1, Q9Y6M1, O60506, Q00341, P17844, P08581, Q14152, Q14151, Q9UN86, Q15366, Q15365, Q14671, Q6ZN04, O43865, Q8NC51, P14866, Q08211, P61011, Q92900, Q9HD40, Q13595, Q9Y3Y2, P29558, P60842	631	745	11621	3.1395079717929355	1.4057139441284454E-30	1.4057139441284454E-30	1.2118223656279701E-30
UP_KW_MOLECULAR_FUNCTION	KW-0687~Ribonucleoprotein	55	5.37109375	7.152551542963218E-15	P52597, P23396, P52272, P62917, Q06787, P62280, P63244, P39023, P62316, P46783, P09651, Q99729, P62753, Q00839, Q9UQ80, P51991, P07910, Q9Y399, P46781, Q9UKM9, P37108, P38159, Q8ND56, P22626, P61313, P82675, P46779, P46778, P62249, P25398, O60506, O00566, Q02878, P61247, P82663, Q92552, P62979, Q15366, Q15365, P62854, P31942, P31943, P26373, P14866, O14979, P15880, P61254, Q02543, P61011, P62701, Q13151, P61978, O43390	631	306	11621	3.3102089224490645	6.181721801112872E-13	3.111359921189E-13	2.6822068286112067E-13
UP_KW_MOLECULAR_FUNCTION	KW-1278~Translocase	23	2.24609375	2.8388809140205048E-8	P33527, P28288, O75306, P28331, O75489, O43520, P16615, P38606, O75110, P19404, Q8NB49, Q04656, P20020, P23634, Q9H7F0, P98194, P05023, Q03519, O15439, Q9HD20, Q99758, P06576	631	104	11621	4.072945873460929	2.4698233848097217E-6	8.232754650659464E-7	7.097202285051263E-7
UP_KW_MOLECULAR_FUNCTION	KW-0347~Helicase	24	2.34375	2.7628786616544535E-6	P38919, Q9BQ39, P26196, Q8N3C0, Q9NR30, Q13838, O00571, Q86XP3, P51532, O60306, Q08211, O00148, Q9Y4B4, Q9NUU7, Q9HCE1, P17844, P13010, Q13283, Q92841, O15523, Q92499, Q92900, Q6P158, P60842	631	144	11621	3.0694664553618596	2.4034188887955832E-4	6.0092610890984364E-5	5.1803974906021E-5
UP_KW_MOLECULAR_FUNCTION	KW-0689~Ribosomal protein	26	2.5390625	2.8422983028944267E-5	P25398, P23396, P62917, P62280, P63244, Q02878, P39023, P61247, P82663, P46783, Q92552, P62979, P62753, P62854, P26373, Q9Y399, P46781, P15880, P61254, Q02543, P62701, P61313, P82675, P46779, P46778, P62249	631	188	11621	2.5470040799811176	0.0024697797293484758	4.945599047036301E-4	4.26344745434164E-4
UP_KW_MOLECULAR_FUNCTION	KW-0378~Hydrolase	132	12.890625	1.220862490541384E-4	Q7Z2K6, Q7KZF4, Q8N2K0, P28288, Q96TA2, Q9UJ14, P55265, Q8IV08, Q70CQ3, P50897, O00303, O00148, Q9NUU7, Q70EL1, Q9BVQ7, P61026, Q9BZQ6, Q14694, P38919, P09936, Q9UIQ6, P78536, Q9GZR2, P52848, Q63HN8, Q9BYF1, P68104, Q92841, Q9NVH0, O15523, Q9UKV0, Q8NFA0, Q8N3C0, O60306, Q9BYE2, Q9Y295, Q8WUK0, O15393, Q5JRX3, Q9NXE4, P62826, P07858, P10586, O00571, P51532, Q7L211, P17655, O60313, P62140, Q13393, P28827, P62820, Q92820, Q75T13, P51784, O95476, P50570, Q9BQ39, Q13838, Q9H089, P51148, Q8IXI1, P51149, Q9H2U2, O00194, Q9Y3E5, Q13283, Q92499, P61586, Q6P158, P61106, P07711, Q13443, Q9Y2L1, Q9NZC3, O75976, Q13724, P26196, Q15907, P36776, Q9BTY2, Q9NR30, Q9NR31, Q86XP3, Q12913, P51159, Q8IY17, Q8WXF7, P15586, P11021, P11142, Q9HCE1, P42892, Q13332, Q8NCG7, Q8NHH9, Q8TEY7, Q14703, O75844, O94966, O75688, P14735, Q9Y5K5, P78406, P11586, P62330, Q8WVQ1, P17844, P13010, P07099, Q92995, P61006, Q14674, P33527, O43462, P09958, O75439, Q9P0U3, P28074, O43865, P36873, Q08211, Q9Y4B4, Q96KP4, P84077, P52948, P61011, O14656, Q92900, P61019, P60842	631	1788	11621	1.3596294366032398	0.010565936253202679	0.001770250611285007	0.00152607811317673
UP_KW_MOLECULAR_FUNCTION	KW-0396~Initiation factor	12	1.171875	1.4660446975579453E-4	O15371, Q04637, Q99613, P55884, O75821, O60573, P23588, Q14152, Q9Y262, O00303, Q15056, P60842	631	55	11621	4.018210632473707	0.012674516999316099	0.0018220841241077322	0.0015707621759549412
UP_KW_MOLECULAR_FUNCTION	KW-0143~Chaperone	27	2.63671875	3.02457176304231E-4	Q9UL15, P54652, O95757, Q13217, Q15084, Q8N183, Q01105, P78371, O95816, P27824, P25685, P07237, Q8TAT6, P06748, Q9Y276, Q9BS26, P50502, O43765, Q9Y4L1, P11021, P11142, Q9NVH1, P49368, O14656, P08238, P27797, Q99615	631	230	11621	2.1619720250809618	0.025974460602456118	0.003289221792308512	0.0028355360278521655
UP_KW_MOLECULAR_FUNCTION	KW-1183~Host cell receptor for virus entry	13	1.26953125	4.468741694631534E-4	P05556, Q9BYF1, Q6UXB4, Q15758, Q14118, Q8WTV0, P14735, P00533, P29317, P35613, P30530, O15118	631	72	11621	3.3252553266420146	0.03814035884909328	0.004319783638143816	0.0037239514121929452
UP_KW_MOLECULAR_FUNCTION	KW-0413~Isomerase	20	1.953125	0.002303063835592887	P06744, P23284, Q5T1M5, P62937, Q13427, Q14318, O15121, Q9H7Z7, Q02880, P13667, Q9H3N1, P30101, Q8NBS9, Q15084, Q00688, Q96AY3, O94923, Q15125, P07237, Q9H2H8	631	171	11621	2.154011547622358	0.1817584045671613	0.020036655369658117	0.017272978766946653
UP_KW_MOLECULAR_FUNCTION	KW-0699~rRNA-binding	7	0.68359375	0.002757364940414869	P62917, P46781, P62701, P62280, Q92552, Q6NZI2, Q7L8L6	631	27	11621	4.774725597229559	0.2135468234593183	0.021808249983281236	0.018800215502828652
