A4D250	A4D250
P55789	P55789
Q52M58	Q52M58
Q8N5N4	Q8N5N4
P46597	P46597
P46597	O95671
O75363	O75363
Q9ULV3	Q9ULV3
Q5JPI3	Q5JPI3
Q8N813	Q8N813
Q8TBE0	Q8TBE0
Q96BP2	Q96BP2
Q9H6U6	Q9H6U6
Q7L266	Q7L266
Q7L266	Q9H6P5
Q7L266	P20933
A4QN01	A4QN01
O14514	O14514
O14514	O60241
O14514	O60242
O14514	O75173
O14514	Q8TE58
O14514	Q9UHI8
O14514	Q13591
O14514	Q9P283
O14514	Q6QNK2
O14514	Q9HBW9
O14514	Q14246
O14514	Q86SQ3
O14514	Q9BY15
O14514	Q9NYQ6
O14514	Q9HCU4
O14514	Q9NYQ7
O14514	P48960
O14514	Q9UHX3
O14514	Q96K78
O14514	Q7Z7M1
O14514	Q8IZF2
O14514	Q8IZF5
O14514	Q8IZF3
O14514	Q8IZF7
O14514	Q5T601
O14514	Q9HCB6
O14514	Q8IZJ1
O14514	Q6UXZ4
O14514	O95185
O14514	Q6ZN44
O14514	Q86TH1
O14514	Q9BUD6
O14514	Q6ZMP0
O14514	Q9C0I4
O14514	Q9Y653
O14514	Q8IZF4
O14514	Q86Y34
O14514	Q86SQ4
O14514	Q8IZF6
O14514	Q8IZP9
O14514	Q16602
O14514	P30988
O14514	Q13324
O14514	P34998
O14514	Q02643
O14514	P47872
O14514	Q03431
O14514	P32241
O14514	P41586
O14514	P49190
O14514	O95838
O14514	P48546
O14514	P47871
O14514	P43220
O14514	P41587
O14514	Q8IVN8
O14514	Q9UJW2
O14514	Q8IUL8
O14514	O75339
O14514	Q9BZZ2
O14514	P20273
O14514	Q96IQ7
P55061	P55061
P55061	Q9H3K2
Q96QF7	Q96QF7
Q9BUK0	Q9BUK0
O43310	O43310
O43310	Q9H074
O43310	A9UHW6
Q16186	Q16186
Q5JTJ3	Q5JTJ3
Q96LP6	Q96LP6
P05408	P05408
Q9NVP2	Q9NVP2
Q9NVP2	Q9Y294
Q96M02	Q96M02
Q5T1B1	Q5T1B1
Q13166	Q13166
Q3I5F7	Q3I5F7
Q3I5F7	P49753
Q3I5F7	Q86TX2
Q3I5F7	Q8N9L9
Q3I5F7	Q14032
Q8N9N5	Q8N9N5
Q8N4M7	Q8N4M7
B7Z368	B7Z368
P05089	P05089
P05089	P78540
P05089	Q9BSE5
Q9P2W6	Q9P2W6
O75503	O75503
Q8N812	Q8N812
Q6ZNE5	Q6ZNE5
Q9Y2Y0	Q9Y2Y0
Q9Y2Y0	Q96G28
A6ND91	A6ND91
Q8WUR7	Q8WUR7
Q5JTC6	Q5JTC6
Q5JTC6	Q8N7J2
Q5JTC6	Q8N944
P29374	P29374
P29374	Q4LE39
O15084	O15084
O15084	Q9Y283
O15084	Q8N8A2
O15084	Q8NB46
O15084	Q8N9B4
O15084	Q13418
O15084	Q59H18
O15084	Q3KP44
O15084	Q9Y576
O15084	Q9P0K7
O15084	Q8TC84
O15084	Q8WXE0
O15084	Q8WXD9
O15084	Q06547
O15084	Q8TAK5
O15084	P58546
O15084	O14593
O15084	Q9H9E1
O15084	Q8WZ74
O15084	Q9P2B4
O15084	Q9ULJ7
O15084	Q96DX5
O15084	Q8WXH4
O15084	Q8WWX0
O15084	Q5VYY1
O15084	Q9Y574
O15084	Q9H765
O15084	Q96NS5
O15084	Q9P2S6
O15084	Q6ZVZ8
O15084	A6NGH8
O15084	P42772
O15084	P42771
O15084	Q8IV38
O15084	P55273
O15084	P42773
O15084	Q8N6S4
O15084	Q8IZ07
O15084	Q6ZTN6
O15084	Q86YJ7
O15084	A0PJZ0
O15084	Q9H560
O15084	A2A2Z9
O15084	Q8IVF6
O15084	Q5TYW2
O15084	Q5CZ79
O15084	Q4UJ75
O15084	Q5SQ80
O15084	Q5VUR7
O15084	Q9BXX3
O15084	A7E2S9
O15084	Q9BXX2
O15084	Q7Z5J8
O15084	C9JTQ0
O15084	Q69YU3
O15084	A5PLL1
O15084	P0C6C1
O15084	Q9C0D5
O15084	Q9HCD6
O15084	Q9Y6H5
O15084	Q8N283
O15084	Q9BZF9
O15084	O95271
O15084	Q9H2K2
O15084	Q8WWH4
Q9BV10	Q9BV10
Q9BV10	Q92521
Q8WU49	Q8WU49
P82251	P82251
P82251	Q8MH63
P82251	Q9GIP4
P82251	Q01650
P82251	Q9UM01
P82251	Q92536
P82251	Q9UPY5
P82251	Q9NS82
P82251	Q9UHI5
P82251	Q8TCU3
P82251	P52569
P82251	P30825
P82251	Q8WY07
P82251	O43246
P82251	Q8TBB6
Q5K131	Q5K131
O60756	O60756
H3BNL8	H3BNL8
Q5T2E6	Q5T2E6
Q7Z713	Q7Z713
Q7Z713	Q9NXR5
Q7Z713	Q6ZW76
Q7Z713	Q96HA7
Q7Z713	Q9NVP4
Q6ICH7	Q6ICH7
Q6ICH7	Q5U4P2
Q6ICH7	Q12797
Q07021	Q07021
Q86TW2	Q86TW2
Q86TW2	Q3MIX3
Q86TW2	Q7Z695
Q86TW2	Q96D53
Q86TW2	Q8NI60
O00244	O00244
Q8IZ83	Q8IZ83
Q8IZ83	P49419
Q8IZ83	P49189
Q8IZ83	Q02252
Q8IZ83	P30038
Q8IZ83	O94788
Q8IZ83	P30837
Q8IZ83	P47895
Q8IZ83	P05091
Q8IZ83	P00352
Q8IZ83	Q9H2A2
Q8IZ83	Q3SY69
Q8IZ83	O75891
Q8IZ83	P51649
Q7Z4L0	Q7Z4L0
Q0VDE8	Q0VDE8
Q53S99	Q53S99
Q7Z6A9	Q7Z6A9
Q9BV29	Q9BV29
Q8IX12	Q8IX12
Q8IX12	Q8IYB3
Q8IX12	Q8N163
Q9BXF3	Q9BXF3
P13073	P13073
P13073	Q96KJ9
Q9Y2D5	Q9Y2D5
Q9Y6N1	Q9Y6N1
Q8IWY9	Q8IWY9
Q01518	Q01518
Q01518	P40123
Q8IUI8	Q8IUI8
Q53RT3	Q53RT3
Q7Z7H3	Q7Z7H3
Q96HA4	Q96HA4
Q96LC9	Q96LC9
A8MY62	A8MY62
Q8WXS3	Q8WXS3
Q8N137	Q8N137
Q96M19	Q96M19
A8MTZ7	A8MTZ7
O75947	O75947
Q8TDX6	Q8TDX6
Q8TDX6	Q8N6G5
Q8TDX6	Q86X52
Q8TDX6	Q70JA7
Q8TDX6	Q6L9W6
Q8TDX6	Q76KP1
Q8TDX6	Q9P2E5
Q8TDX6	Q8IZ52
Q6DD88	Q6DD88
Q6DD88	Q8WXF7
Q6DD88	Q8NHH9
Q8N726	Q8N726
Q8TAV5	Q8TAV5
P30049	P30049
Q9H6J7	Q9H6J7
Q5T0J3	Q5T0J3
Q32M92	Q32M92
Q8N4M1	Q8N4M1
Q8N4M1	Q8WWI5
Q8N4M1	Q8IWA5
Q8N4M1	Q8NCS7
Q8N4M1	Q53GD3
A6NNL5	A6NNL5
Q5TC12	Q5TC12
Q8N1D0	Q8N1D0
Q8IVJ8	Q8IVJ8
P28838	P28838
P28838	Q8NDH3
Q96RK1	Q96RK1
Q96RK1	Q99966
Q96RK1	Q99967
O95873	O95873
P59998	P59998
Q8TBZ0	Q8TBZ0
Q9H5L9	Q9H5L9
Q96A33	Q96A33
P13987	P13987
Q76N32	Q76N32
Q16204	Q16204
Q5T0U0	Q5T0U0
Q8WUH1	Q8WUH1
Q8NA47	Q8NA47
Q8NA47	Q96M63
Q8WWF1	Q8WWF1
P28906	P28906
Q8N6N3	Q8N6N3
Q8NDH2	Q8NDH2
Q0VFZ6	Q0VFZ6
Q96HJ3	Q96HJ3
Q96CD2	Q96CD2
Q13111	Q13111
P07498	P07498
Q6ZUL3	Q6ZUL3
P16070	P16070
Q3LIE5	Q3LIE5
Q3LIE5	Q92484
Q3LIE5	Q92485
Q3LIE5	P17405
Q9H9E3	Q9H9E3
Q8N957	Q8N957
Q8WXC6	Q8WXC6
P0CW23	P0CW23
P0CW23	O43687
P0CW23	Q9P0M2
O00189	O00189
O00189	Q9Y6Q2
O00189	Q8WXE9
O00189	Q9Y6Q5
O00189	Q9BXS5
O00189	Q96CW1
O00189	P53677
O00189	Q9Y2T2
O00189	P48444
O43823	O43823
O43823	Q9ULX6
O43823	Q5BKZ1
Q6PJW8	Q6PJW8
Q9NX76	Q9NX76
Q9NX76	Q8IZR5
Q9NRU3	Q9NRU3
Q9NRU3	Q6P4Q7
Q9NRU3	Q9H8M5
Q9NRU3	Q8NE01
Q96PE2	Q96PE2
Q96PE2	Q5JSP0
Q96PE2	P11274
Q96PE2	Q12979
Q96PE2	O60271
Q96PE2	Q9UPT6
Q96PE2	Q9HCE6
Q96PE2	O15013
Q96PE2	Q6ZV73
Q96PE2	Q9HCC9
Q96PE2	Q6ZNL6
Q96PE2	P98174
Q96PE2	Q9BQS8
Q96PE2	Q96S99
Q96PE2	Q96M96
Q96PE2	O14964
Q96PE2	Q7Z6J4
Q96PE2	Q15075
Q96PE2	Q9NR81
Q96PE2	Q7Z628
Q96PE2	Q9H8V3
Q96PE2	Q92547
Q96PE2	Q6ZW49
Q96PE2	Q96PX9
Q96PE2	Q8TER5
Q96PE2	Q58EX7
Q96PE2	Q86VW2
Q96PE2	O75962
Q96PE2	O60229
Q96PE2	Q86YR7
Q96PE2	Q5JYT7
Q96PE2	P10911
Q96PE2	O15068
Q96PE2	Q86VW0
Q8N8G6	Q8N8G6
P08243	P08243
P08243	Q9NWL6
P10645	P10645
Q07065	Q07065
Q6V702	Q6V702
A6NEK1	A6NEK1
A6NEK1	Q8N5I2
P60893	P60893
P60893	Q9NS66
P60893	Q9NS67
P60893	P35408
P60893	P43116
P60893	Q13258
P60893	P43119
P60893	P21731
P60893	P43088
P60893	P34995
P60893	P43115
O75618	O75618
O75618	Q8WXF8
Q8TAX9	Q8TAX9
Q6NXN4	Q6NXN4
Q6NXN4	Q6NUT2
Q6NXN4	Q6ZN68
Q6NXN4	Q2PZI1
Q6NXN4	Q6ZPD9
Q6NXN4	Q7Z388
Q0D2K5	Q0D2K5
Q0D2K5	A6BM72
Q0D2K5	Q96KG7
Q0D2K5	O15230
Q0D2K5	Q5VY43
Q0D2K5	P80370
Q0D2K5	Q99944
Q0D2K5	Q8NCF0
Q0D2K5	A5D8T8
Q0D2K5	Q6UXF7
Q0D2K5	Q96GP6
Q0D2K5	P22105
Q0D2K5	Q9UK23
Q0D2K5	Q02763
Q0D2K5	P35590
Q0D2K5	Q9NY15
P06744	P06744
Q8N140	Q8N140
Q8N140	Q9NXX6
Q9UKB3	Q9UKB3
Q9UKB3	Q9NVM6
Q9NWQ4	Q9NWQ4
Q9NWQ4	Q9NW75
Q9NYP3	Q9NYP3
Q9BVM4	Q9BVM4
Q53S33	Q53S33
Q7LFX5	Q7LFX5
Q9C0I3	Q9C0I3
Q9C0I3	Q9H7U1
P34810	P34810
P34810	Q9UQV4
Q13536	Q13536
Q96JN2	Q96JN2
P0C880	P0C880
Q9UFV3	Q9UFV3
Q6ZUG5	Q6ZUG5
Q6ZS46	Q6ZS46
Q9H521	Q9H521
Q96IR3	Q96IR3
Q6ZSV7	Q6ZSV7
Q6ZS49	Q6ZS49
Q8NA96	Q8NA96
Q8NA96	A6NFR6
Q1RN00	Q1RN00
Q8N1X5	Q8N1X5
Q6ZQT0	Q6ZQT0
Q499Y3	Q499Y3
Q499Y3	Q9H8K7
A6NDX4	A6NDX4
A6NDX4	Q8N9W7
Q6ZWC4	Q6ZWC4
Q5W150	Q5W150
Q6P435	Q6P435
Q6ZVU0	Q6ZVU0
Q9HAA7	Q9HAA7
Q86TA4	Q86TA4
Q6ZSR6	Q6ZSR6
Q8NAQ8	Q8NAQ8
Q8TCH9	Q8TCH9
Q8N9L7	Q8N9L7
Q8N3U1	Q8N3U1
Q6AWC8	Q6AWC8
Q8TAT8	Q8TAT8
Q6ZRU5	Q6ZRU5
Q8N814	Q8N814
Q9H8V8	Q9H8V8
Q6ZTI0	Q6ZTI0
A8MT66	A8MT66
A8MWP4	A8MWP4
A8MXK9	A8MXK9
A8MXK9	A8MWP6
Q9BTK2	Q9BTK2
Q6ZRG5	Q6ZRG5
Q8N9P0	Q8N9P0
Q8NC38	Q8NC38
Q8WUZ0	Q8WUZ0
Q8WUZ0	Q4VC05
Q8WUZ0	Q9BQE9
O15392	O15392
Q99856	Q99856
Q99856	A6NKF2
Q99856	Q8IVW6
Q99856	Q03989
Q99856	Q14865
Q9Y2V0	Q9Y2V0
Q6IPW1	Q6IPW1
Q7RTU4	Q7RTU4
Q7RTU4	Q99081
Q7RTU4	P15884
Q7RTU4	P15923
Q9Y6H3	Q9Y6H3
P36542	P36542
Q9BRJ6	Q9BRJ6
Q96N23	Q96N23
P41439	P41439
P41439	P15328
P41439	P14207
P41439	A6ND01
Q9H112	Q9H112
Q9H112	Q9H114
Q9H112	O76096
Q9H112	O60676
Q9H112	P01037
Q9H112	P09228
Q9H112	P01036
Q9H112	P28325
Q9H112	P01034
Q9H112	Q15828
Q9H112	Q5W188
Q9H112	Q9H4G1
Q9H112	Q5W186
Q6ZU64	Q6ZU64
P09497	P09497
P09497	P09496
Q4L235	Q4L235
Q156A1	Q156A1
Q6UWU4	Q6UWU4
Q9P2A4	Q9P2A4
Q9P2A4	Q8IZP0
Q9P2A4	Q9NYB9
Q9P2A4	Q14847
Q9P2A4	O76041
Q9BRQ4	Q9BRQ4
P0DKL9	P0DKL9
P0DKL9	Q8N8R7
Q0P651	Q0P651
P28039	P28039
Q6UWZ7	Q6UWZ7
Q6UWZ7	Q15018
Q5SY85	Q5SY85
Q8NFN8	Q8NFN8
Q9UBF2	Q9UBF2
Q9UBF2	Q9Y678
O95196	O95196
Q96PG8	Q96PG8
Q9BXH1	Q9BXH1
Q7KZN9	Q7KZN9
A1L168	A1L168
A1L168	Q9BTA0
Q96MX0	Q96MX0
Q96MX0	Q96DZ9
Q8NBF6	Q8NBF6
P0DMV1	P0DMV1
P0DMV1	P0DMU9
P0DMV1	P0DMU7
P0DMV1	Q8NHU0
P0DMV1	P0DMV0
P0DMV1	P0DMU8
P0DMV1	P0DMV2
P0DMV1	Q5DJT8
P0DMV1	Q5HYN5
P0DMV1	A6NJ88
P0DMV1	Q9NXZ1
P0DMV1	Q5JSJ4
P0DMV1	Q9UL03
Q96F25	Q96F25
A5D8W1	A5D8W1
Q08E93	Q08E93
Q08E93	Q5T7N8
P22794	P22794
Q8NB37	Q8NB37
Q6NXP0	Q6NXP0
Q15370	Q15370
O94830	O94830
O94830	Q9Y6Y8
O94830	Q8N8V4
O94830	Q495M9
O94830	Q8NEL9
P63172	P63172
P63172	P51808
P63172	Q8WW35
O75165	O75165
Q8IXQ6	Q8IXQ6
Q8IXQ6	Q9BQ69
Q8IXQ6	A1Z1Q3
Q8IXQ6	Q9NXN4
Q96JY6	Q96JY6
Q96JY6	P50479
Q96JY6	O00151
Q96JY6	Q53GG5
Q96JY6	Q96HC4
Q96JY6	O75112
Q96JY6	A6NIX2
Q96JY6	Q96IF1
Q96JY6	Q6H8Q1
Q96JY6	O14639
